PeakID (cmd=annotatePeaks.pl ESR1_T2E.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_4278	chr6	15221860	15222697	+	3100.00	NA	Intergenic	NA	-24022	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
MACS_peak_1164	chr12	102090601	102091945	+	3100.00	NA	promoter-TSS (NM_020244)	NA	-145	NM_020244	56994	Hs.293077	NM_020244	ENSG00000111666	CHPT1	CPT|CPT1	choline phosphotransferase 1	protein-coding
MACS_peak_771	chr11	2189823	2191257	+	3100.00	NA	intron (NM_000360, intron 2 of 12)	NA	2505	NM_000360	7054	Hs.435609	NM_000360	ENSG00000180176	TH	DYT14|DYT5b|TYH	tyrosine hydroxylase	protein-coding
MACS_peak_4285	chr6	17393841	17394585	+	3100.00	NA	intron (NM_001363533, intron 1 of 9)	NA	387	NM_006366	10486	Hs.132902	NM_006366	ENSG00000112186	CAP2	-	cyclase associated actin cytoskeleton regulatory protein 2	protein-coding
MACS_peak_1231	chr12	123553855	123555258	+	3100.00	NA	intron (NM_020845, intron 1 of 24)	NA	-11375	NR_038290	100507091	Hs.683912	NR_038290	ENSG00000251497	PITPNM2-AS1	-	PITPNM2 antisense RNA 1	ncRNA
MACS_peak_2274	chr17	72756716	72757356	+	3100.00	NA	intron (NM_004252, intron 1 of 5)	NA	12269	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
MACS_peak_2043	chr16	85321543	85323253	+	3100.00	NA	TTS (NR_038859)	NA	5834	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
MACS_peak_2417	chr19	1181364	1182255	+	3100.00	NA	Intergenic	NA	-7542	NM_014963	22904	Hs.408708	NM_014963	ENSG00000064932	SBNO2	KIAA0963|SNO|STNO	strawberry notch homolog 2	protein-coding
MACS_peak_2428	chr19	1512960	1514017	+	3100.00	NA	promoter-TSS (NM_213604)	NA	-470	NM_213604	339366	Hs.371674	NM_213604	ENSG00000185761	ADAMTSL5	THSD6	ADAMTS like 5	protein-coding
MACS_peak_932	chr11	76483399	76484153	+	3100.00	NA	Intergenic	NA	-9581	NM_001258210	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
MACS_peak_2631	chr2	11638247	11639436	+	3100.00	NA	Intergenic	NA	-32538	NM_001278277	1876	Hs.603093	NM_198256	ENSG00000169016	E2F6	E2F-6	E2F transcription factor 6	protein-coding
MACS_peak_2074	chr16	88992576	88995894	+	3100.00	NA	intron (NM_005187, intron 1 of 11)	NA	-12210	NM_001290330	100129697	Hs.689377	NM_001290330		LOC100129697	-	uncharacterized LOC100129697	protein-coding
MACS_peak_945	chr11	78770629	78771635	+	3100.00	NA	intron (NM_001098816, intron 6 of 33)	NA	342021	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
MACS_peak_2052	chr16	85499489	85500273	+	3100.00	NA	Intergenic	NA	-145134	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
MACS_peak_5239	chr9	138283961	138285156	+	3100.00	NA	Intergenic	NA	49463	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
MACS_peak_2166	chr17	38732220	38733198	+	3100.00	NA	Intergenic	NA	-10985	NM_001301714	1236	Hs.370036	NM_001838	ENSG00000126353	CCR7	BLR2|CC-CKR-7|CCR-7|CD197|CDw197|CMKBR7|EBI1	C-C motif chemokine receptor 7	protein-coding
MACS_peak_2635	chr2	11670925	11671609	+	3100.00	NA	Intergenic	NA	-2904	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_1739	chr15	74002138	74003082	+	3100.00	NA	intron (NM_001024736, intron 8 of 9)	NA	25499	NM_001329628	80381	Hs.744915	NM_025240	ENSG00000103855	CD276	4Ig-B7-H3|B7-H3|B7H3|B7RP-2	CD276 molecule	protein-coding
MACS_peak_1581	chr14	100603174	100604367	+	3100.00	NA	intron (NM_016337, intron 9 of 13)	NA	22212	NM_206918	123099	Hs.159643	NM_206918	ENSG00000168350	DEGS2	C14orf66|DES2|FADS8	delta 4-desaturase, sphingolipid 2	protein-coding
MACS_peak_4520	chr7	4722468	4723914	+	3100.00	NA	intron (NM_001037165, intron 1 of 8)	NA	1265	NM_001037165	221937	Hs.487393	NM_001037165	ENSG00000164916	FOXK1	FOXK1L	forkhead box K1	protein-coding
MACS_peak_1550	chr14	95522641	95523682	+	3100.00	NA	Intergenic	NA	76679	NM_001195573	23405	Hs.87889	NM_030621	ENSG00000100697	DICER1	DCR1|Dicer|Dicer1e|GLOW|HERNA|K12H4.8-LIKE|MNG1|RMSE2	dicer 1, ribonuclease III	protein-coding
MACS_peak_1438	chr14	67946424	67947513	+	3100.00	NA	intron (NM_001348548, intron 2 of 2)	NA	8470	NM_001348543	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
MACS_peak_2204	chr17	49021271	49022308	+	3100.00	NA	Intergenic	NA	-76450	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
MACS_peak_2157	chr17	38477889	38479211	+	3100.00	NA	intron (NM_001145302, intron 1 of 6)	NA	4053	NM_001145301	5914	Hs.654583	NM_000964	ENSG00000131759	RARA	NR1B1|RAR	retinoic acid receptor alpha	protein-coding
MACS_peak_3308	chr21	43796314	43796895	+	3100.00	NA	intron (NM_001256317, intron 11 of 12)	NA	-9960	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_1867	chr16	4201802	4202790	+	3100.00	NA	Intergenic	NA	-35853	NM_001116	115	Hs.391860	NM_001116	ENSG00000162104	ADCY9	AC9|ACIX	adenylate cyclase 9	protein-coding
MACS_peak_5256	chr9	140408137	140410054	+	3100.00	NA	intron (NM_001098537, intron 12 of 34)	NA	35759	NM_001098537	375775	Hs.294147	NM_152286	ENSG00000130653	PNPLA7	C9orf111|NTE-R1|NTEL1	patatin like phospholipase domain containing 7	protein-coding
MACS_peak_1200	chr12	116827807	116828962	+	3100.00	NA	Intergenic	NA	37739	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
MACS_peak_2275	chr17	72765633	72767668	+	3100.00	NA	TTS (NM_001305078)	NA	5834	NM_001305086	26151	Hs.144058	NM_015654	ENSG00000109065	NAT9	EBSP, hNATL	N-acetyltransferase 9 (putative)	protein-coding
MACS_peak_3726	chr3	150454861	150455522	+	3100.00	NA	intron (NR_121657, intron 1 of 2)	NA	1581	NR_121657	101928105		NR_121657		LOC101928105	-	uncharacterized LOC101928105	ncRNA
MACS_peak_1430	chr14	65584617	65585846	+	3100.00	NA	Intergenic	NA	-15818	NR_073137	4149	Hs.285354	NM_002382	ENSG00000125952	MAX	bHLHd4	MYC associated factor X	protein-coding
MACS_peak_5204	chr9	130788813	130789654	+	3100.00	NA	Intergenic	NA	40366	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_1529	chr14	91884098	91885239	+	3100.00	NA	promoter-TSS (NM_001080414)	NA	-504	NM_001080414	440193	Hs.525536	NM_001080414	ENSG00000015133	CCDC88C	DAPLE|HKRP2|HYC1|KIAA1509|SCA40	coiled-coil domain containing 88C	protein-coding
MACS_peak_2498	chr19	18392112	18392937	+	3100.00	NA	promoter-TSS (NR_036155)	NA	-92	NM_001286968	3727	Hs.2780	NM_005354	ENSG00000130522	JUND	AP-1	JunD proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_566	chr10	62607881	62608884	+	3100.00	NA	Intergenic	NA	70146	NM_001786	983	Hs.732435	NM_001786	ENSG00000170312	CDK1	CDC2|CDC28A|P34CDC2	cyclin dependent kinase 1	protein-coding
MACS_peak_3814	chr3	193876504	193877340	+	3100.00	NA	Intergenic	NA	22985	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
MACS_peak_3147	chr20	48505536	48506488	+	3100.00	NA	non-coding (NR_048537, exon 15 of 15)	NA	24264	NM_001135773	9825	Hs.48513	NM_006038	ENSG00000158480	SPATA2	PD1|PPP1R145|tamo	spermatogenesis associated 2	protein-coding
MACS_peak_4217	chr5	167743106	167743952	+	3100.00	NA	intron (NM_001161662, intron 1 of 22)	NA	24879	NM_001161662	23286	Hs.484047	NM_015238	ENSG00000113645	WWC1	HBEBP3|HBEBP36|KIBRA|MEMRYQTL|PPP1R168	WW and C2 domain containing 1	protein-coding
MACS_peak_1516	chr14	90969675	90970756	+	3100.00	NA	Intergenic	NA	13338	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
MACS_peak_887	chr11	69705813	69707187	+	3100.00	NA	Intergenic	NA	-72316	NM_005247	2248	Hs.37092	NM_005247	ENSG00000186895	FGF3	HBGF-3|INT2	fibroblast growth factor 3	protein-coding
MACS_peak_1595	chr14	104159329	104160413	+	3100.00	NA	intron (NM_001130107, intron 14 of 15)	NA	21917	NM_001371231								
MACS_peak_4372	chr6	53329546	53330277	+	3100.00	NA	Intergenic	NA	79988	NM_001197115	2729	Hs.654465	NM_001498	ENSG00000001084	GCLC	GCL|GCS|GLCL|GLCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
MACS_peak_908	chr11	72496554	72497908	+	3100.00	NA	intron (NM_006645, intron 1 of 6)	NA	2656	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
MACS_peak_220	chr1	112055809	112056528	+	3100.00	NA	intron (NM_001081976, intron 1 of 5)	NA	-9425	NM_000677	140	Hs.281342	NM_000677	ENSG00000282608	ADORA3	A3AR	adenosine A3 receptor	protein-coding
MACS_peak_4860	chr8	91013525	91014457	+	3100.00	NA	intron (NM_001359, intron 1 of 9)	NA	286	NM_001359	1666	Hs.492212	NM_001359	ENSG00000104325	DECR1	DECR|NADPH|SDR18C1	2,4-dienoyl-CoA reductase 1	protein-coding
MACS_peak_4952	chr8	129153774	129154851	+	3100.00	NA	Intergenic	NA	-8050	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_1143	chr12	89858637	89859454	+	3100.00	NA	intron (NR_037659, intron 8 of 11)	NA	59528	NM_003774	8693	Hs.25130	NM_003774	ENSG00000257594	GALNT4	GALNAC-T4|GALNACT4	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding
MACS_peak_1535	chr14	93483462	93484514	+	3100.00	NA	intron (NM_001142593, intron 3 of 10)	NA	19331	NM_001363707	3705	Hs.308122	NM_014216	ENSG00000100605	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	protein-coding
MACS_peak_898	chr11	70651582	70652409	+	3100.00	NA	intron (NM_012309, intron 10 of 22)	NA	-56900	NR_073536	220070	Hs.326766	NM_145308	ENSG00000171671	SHANK2-AS3	C11orf76	SHANK2 antisense RNA 3	ncRNA
MACS_peak_1517	chr14	90978503	90979493	+	3100.00	NA	Intergenic	NA	4555	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
MACS_peak_1448	chr14	69036325	69037357	+	3100.00	NA	intron (NM_001321818, intron 10 of 10)	NA	58663	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
MACS_peak_4918	chr8	116879608	116880324	+	3100.00	NA	Intergenic	NA	-198764	NM_001330599	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
MACS_peak_2967	chr2	216847103	216847833	+	3026.42	NA	intron (NM_018000, intron 2 of 4)	NA	30806	NM_018000	55686	Hs.620391	NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
MACS_peak_3396	chr22	29209498	29210267	+	3016.00	NA	Intergenic	NA	-13322	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
MACS_peak_1347	chr13	113567598	113568298	+	2995.80	NA	Intergenic	NA	55004	NR_034002	100289410	Hs.667436	NR_034002		MCF2L-AS1	-	MCF2L antisense RNA 1	ncRNA
MACS_peak_478	chr10	17487328	17488299	+	2992.85	NA	intron (NM_001004470, intron 2 of 7)	NA	8781	NM_001345961	338596	Hs.677766	NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
MACS_peak_1027	chr12	2904953	2905541	+	2977.25	NA	intron (NM_002014, intron 1 of 9)	NA	1111	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FKBP prolyl isomerase 4	protein-coding
MACS_peak_1801	chr15	93187863	93189593	+	2968.12	NA	intron (NM_207446, intron 1 of 2)	NA	10277	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
MACS_peak_53	chr1	17846585	17847574	+	2948.11	NA	Intergenic	NA	-19114	NR_137287	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
MACS_peak_647	chr10	95194620	95195439	+	2934.96	NA	intron (NM_013451, intron 3 of 53)	NA	47062	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
MACS_peak_3013	chr2	238467542	238468217	+	2927.54	NA	Intergenic	NA	-7338	NM_015893	51052	Hs.247710	NM_015893	ENSG00000071677	PRLH	PRH|PRRP	prolactin releasing hormone	protein-coding
MACS_peak_764	chr11	1817497	1818269	+	2920.83	NA	Intergenic	NA	-32726	NM_001909	1509	Hs.654447	NM_001909	ENSG00000117984	CTSD	CLN10|CPSD|HEL-S-130P	cathepsin D	protein-coding
MACS_peak_4138	chr5	105577106	105577806	+	2911.92	NA	Intergenic	NA	769259	NR_104671	102467213	Hs.570923	NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
MACS_peak_2727	chr2	65527252	65527751	+	2898.82	NA	Intergenic	NA	66411	NM_001128210	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
MACS_peak_3298	chr21	43025501	43026299	+	2865.14	NA	Intergenic	NA	-73562	NR_024367	54090	Hs.570442	NR_024367		LINC00111	C21orf21|NCRNA00111	long intergenic non-protein coding RNA 111	ncRNA
MACS_peak_5203	chr9	130784236	130785054	+	2820.88	NA	Intergenic	NA	-41377	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
MACS_peak_2537	chr19	35808271	35808804	+	2788.61	NA	Intergenic	NA	-11535	NM_001185101	933	Hs.579691	NM_001771	ENSG00000012124	CD22	SIGLEC-2|SIGLEC2	CD22 molecule	protein-coding
MACS_peak_3306	chr21	43786377	43787226	+	2780.82	NA	promoter-TSS (NM_003225)	NA	-157	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_3438	chr22	37966026	37966783	+	2750.82	NA	TTS (NM_152243)	NA	9690	NM_006498	3957	Hs.531776	NM_006498	ENSG00000100079	LGALS2	HL14	galectin 2	protein-coding
MACS_peak_2225	chr17	56716931	56717774	+	2748.92	NA	intron (NM_198393, intron 2 of 32)	NA	52064	NM_001201457	56155	Hs.390221	NM_031272	ENSG00000121101	TEX14	CT113|SPGF23	testis expressed 14, intercellular bridge forming factor	protein-coding
MACS_peak_3758	chr3	161057171	161058173	+	2737.00	NA	Intergenic	NA	32199	NM_001040100	165679	Hs.369104	NM_145035	ENSG00000196542	SPTSSB	ADMP|C3orf57|SSSPTB	serine palmitoyltransferase small subunit B	protein-coding
MACS_peak_2501	chr19	18557424	18558365	+	2729.92	NA	intron (NM_006532, intron 8 of 11)	NA	-8951	NR_045574	51477	Hs.405873	NM_016368	ENSG00000105655	ISYNA1	INO1|INOS|IPS|IPS 1|IPS-1	inositol-3-phosphate synthase 1	protein-coding
MACS_peak_1093	chr12	52542124	52543218	+	2719.15	NA	Intergenic	NA	43127	NM_182507	144501	Hs.140978	NM_182507	ENSG00000167767	KRT80	KB20	keratin 80	protein-coding
MACS_peak_3212	chr20	60981299	60982287	+	2710.98	NA	intron (NM_031215, intron 1 of 9)	NA	546	NM_031215	81928	Hs.301040	NM_031215	ENSG00000149679	CABLES2	C20orf150|dJ908M14.2|ik3-2	Cdk5 and Abl enzyme substrate 2	protein-coding
MACS_peak_4753	chr8	8146496	8147266	+	2696.87	NA	Intergenic	NA	60789	NR_024363	286042	Hs.656318	NR_024361	ENSG00000173295	FAM86B3P	-	family with sequence similarity 86, member A pseudogene	pseudo
MACS_peak_139	chr1	42255036	42255857	+	2666.68	NA	intron (NM_024503, intron 1 of 8)	NA	129147	NR_038260	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
MACS_peak_798	chr11	17427022	17427876	+	2661.88	NA	intron (NR_147094, intron 26 of 37)	NA	-16556	NM_001166290	3767	Hs.248141	NM_000525	ENSG00000187486	KCNJ11	BIR|HHF2|IKATP|KIR6.2|MODY13|PHHI|TNDM3	potassium voltage-gated channel subfamily J member 11	protein-coding
MACS_peak_2221	chr17	55976962	55977926	+	2658.37	NA	intron (NM_001271875, intron 1 of 10)	NA	3306	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
MACS_peak_2314	chr17	80571478	80572476	+	2627.18	NA	TTS (NM_019613)	NA	34343	NM_019613	56270	Hs.132161	NM_019613	ENSG00000141580	WDR45B	NEDSBAS|WDR45L|WIPI-3|WIPI3	WD repeat domain 45B	protein-coding
MACS_peak_880	chr11	69329771	69330671	+	2625.99	NA	Intergenic	NA	29892	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
MACS_peak_4303	chr6	30719008	30719858	+	2621.60	NA	Intergenic	NA	-7109	NM_003897	8870	Hs.76095	NM_003897	ENSG00000137331	IER3	DIF-2|DIF2|GLY96|IEX-1|IEX-1L|IEX1|PRG1	immediate early response 3	protein-coding
MACS_peak_4032	chr5	16588392	16589494	+	2581.25	NA	intron (NM_001034850, intron 1 of 8)	NA	-27092	NR_109946	101929524	Hs.734029	NR_109946	ENSG00000246214	LOC101929524	-	uncharacterized LOC101929524	ncRNA
MACS_peak_4228	chr5	173910236	173911149	+	2537.02	NA	intron (NR_125806, intron 2 of 5)	NA	147335	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
MACS_peak_359	chr1	202081844	202082456	+	2533.74	NA	Intergenic	NA	-9895	NM_004767	9283	Hs.132049	NM_004767	ENSG00000170075	GPR37L1	ET(B)R-LP-2|ETBR-LP-2|ETBRLP2	G protein-coupled receptor 37 like 1	protein-coding
MACS_peak_3620	chr3	61792627	61794203	+	2515.51	NA	intron (NM_002841, intron 2 of 29)	NA	246170	NM_002841	5793	Hs.595541	NM_002841	ENSG00000144724	PTPRG	HPTPG|PTPG|R-PTP-GAMMA|RPTPG	protein tyrosine phosphatase receptor type G	protein-coding
MACS_peak_4944	chr8	128882183	128883551	+	2482.65	NA	intron (NR_003367, intron 1 of 8)	NA	74659	NR_031609	100302185		NR_031609	ENSG00000283710	MIR1204	hsa-mir-1204	microRNA 1204	ncRNA
MACS_peak_4474	chr6	157148131	157148965	+	2480.46	NA	intron (NM_001346813, intron 1 of 19)	NA	-47683	NR_039676	100616154		NR_039676	ENSG00000271899	MIR4466	mir-4466	microRNA 4466	ncRNA
MACS_peak_2786	chr2	100252817	100253755	+	2469.77	NA	intron (NM_002285, intron 12 of 23)	NA	-146807	NR_135650	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
MACS_peak_704	chr10	115438187	115439011	+	2449.43	NA	promoter-TSS (NM_001267057)	NA	-322	NM_001267056	840	Hs.9216	NM_001227	ENSG00000165806	CASP7	CASP-7|CMH-1|ICE-LAP3|LICE2|MCH3	caspase 7	protein-coding
MACS_peak_2683	chr2	38303073	38304098	+	2444.14	NA	promoter-TSS (NM_000104)	NA	-262	NM_000104	1545	Hs.154654	NM_000104	ENSG00000138061	CYP1B1	ASGD6|CP1B|CYPIB1|GLC3A|P4501B1	cytochrome P450 family 1 subfamily B member 1	protein-coding
MACS_peak_5074	chr9	91144646	91145630	+	2423.02	NA	Intergenic	NA	-4878	NM_001161625	158046	Hs.734507	NM_145283	ENSG00000130045	NXNL2	C9orf121|RDCVF2|RdCVF2L	nucleoredoxin like 2	protein-coding
