PeakID (cmd=annotatePeaks.pl ESR1_T2D.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_467	chr2	11679537	11680130	+	1063.18	NA	promoter-TSS (NM_148903)	NA	-112	NM_148903	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_456	chr19	47840033	47840555	+	1053.46	NA	promoter-TSS (NM_018485)	NA	-58	NM_018485	27202	Hs.534412	NM_018485	ENSG00000134830	C5AR2	C5L2|GPF77|GPR77	complement component 5a receptor 2	protein-coding
MACS_peak_157	chr11	72497334	72497962	+	993.62	NA	intron (NM_006645, intron 1 of 6)	NA	3073	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
MACS_peak_759	chr5	105577155	105577663	+	991.66	NA	Intergenic	NA	769306	NR_104671	102467213	Hs.570923	NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
MACS_peak_156	chr11	70651828	70652447	+	985.06	NA	intron (NM_012309, intron 10 of 22)	NA	-56758	NR_073536	220070	Hs.326766	NM_145308	ENSG00000171671	SHANK2-AS3	C11orf76	SHANK2 antisense RNA 3	ncRNA
MACS_peak_440	chr19	16574624	16575274	+	976.16	NA	intron (NM_021235, intron 1 of 22)	NA	7832	NM_001258374	58513	Hs.654639	NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding
MACS_peak_526	chr2	171095117	171095696	+	975.58	NA	intron (NR_045682, intron 7 of 35)	NA	60749	NR_045683	140469	Hs.671900	NM_138995	ENSG00000071909	MYO3B	-	myosin IIIB	protein-coding
MACS_peak_394	chr17	55977044	55977615	+	903.45	NA	intron (NM_001271875, intron 1 of 10)	NA	3421	NM_001292025	404093	Hs.46679	NM_001271875	ENSG00000180891	CUEDC1	-	CUE domain containing 1	protein-coding
MACS_peak_43	chr1	154162942	154163467	+	891.15	NA	intron (NR_103460, intron 3 of 3)	NA	1372	NM_001364682	7170	Hs.535581	NM_152263	ENSG00000143549	TPM3	CAPM1|CFTD|HEL-189|HEL-S-82p|NEM1|OK/SW-cl.5|TM-5|TM3|TM30|TM30nm|TM5|TPM3nu|TPMsk3|TRK|hscp30	tropomyosin 3	protein-coding
MACS_peak_441	chr19	18392453	18392929	+	849.86	NA	promoter-TSS (NR_036155)	NA	-196	NR_036155	100422833		NR_036155	ENSG00000267959	MIR3188	mir-3188	microRNA 3188	ncRNA
MACS_peak_466	chr2	11672434	11672898	+	831.88	NA	Intergenic	NA	-1505	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_925	chr9	91144845	91145395	+	831.46	NA	Intergenic	NA	-4896	NM_001161625	158046	Hs.734507	NM_145283	ENSG00000130045	NXNL2	C9orf121|RDCVF2|RdCVF2L	nucleoredoxin like 2	protein-coding
MACS_peak_16	chr1	43458031	43458500	+	802.00	NA	Intergenic	NA	33545	NR_033967	440584	Hs.260928	NR_033967	ENSG00000227533	SLC2A1-AS1	-	SLC2A1 antisense RNA 1	ncRNA
MACS_peak_872	chr8	37002327	37002819	+	760.91	NA	intron (NR_031672, intron 1 of 2).2	NA	23102	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
MACS_peak_353	chr16	75063661	75064188	+	751.67	NA	intron (NM_032268, intron 1 of 4)	NA	31002	NM_032268	84937	Hs.427284	NM_032268	ENSG00000186187	ZNRF1	NIN283	zinc and ring finger 1	protein-coding
MACS_peak_176	chr12	2904939	2905424	+	747.01	NA	intron (NM_002014, intron 1 of 9)	NA	1045	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FKBP prolyl isomerase 4	protein-coding
MACS_peak_310	chr15	74002404	74002960	+	738.16	NA	intron (NM_001024736, intron 8 of 9)	NA	25571	NM_001329628	80381	Hs.744915	NM_025240	ENSG00000103855	CD276	4Ig-B7-H3|B7-H3|B7H3|B7RP-2	CD276 molecule	protein-coding
MACS_peak_716	chr4	89256027	89256499	+	732.82	NA	intron (NR_134238, intron 3 of 4)	NA	-43628	NM_017912	55008	Hs.529317	NM_017912	ENSG00000138642	HERC6	-	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6	protein-coding
MACS_peak_580	chr20	55732162	55733034	+	732.29	NA	Intergenic	NA	-56154	NR_110631	102723590	Hs.667674	NR_110631		BMP7-AS1	-	BMP7 antisense RNA 1	ncRNA
MACS_peak_33	chr1	114519089	114519684	+	723.95	NA	3' UTR (NM_001369807, exon 16 of 16)	NA	-2627	NM_001286353	56944	Hs.9315	NM_020190	ENSG00000116774	OLFML3	HNOEL-iso|OLF44	olfactomedin like 3	protein-coding
MACS_peak_268	chr14	91742648	91743218	+	717.45	NA	intron (NM_001080414, intron 29 of 29)	NA	-22709	NM_001348437	8111	Hs.8882	NM_003485	ENSG00000119714	GPR68	AI2A6|GPR12A|OGR1	G protein-coupled receptor 68	protein-coding
MACS_peak_961	chr9	138284284	138284781	+	703.09	NA	Intergenic	NA	49437	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
MACS_peak_598	chr21	43796393	43796900	+	698.43	NA	intron (NM_001256317, intron 11 of 12)	NA	-10002	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_870	chr8	33102415	33103067	+	696.75	NA	Intergenic	NA	227923	NM_032664	84750	Hs.458713	NM_032664	ENSG00000172728	FUT10	FUCTX	fucosyltransferase 10	protein-coding
MACS_peak_405	chr17	64948176	64948689	+	670.49	NA	Intergenic	NA	-12391	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
MACS_peak_643	chr3	50642423	50642942	+	645.07	NA	Intergenic	NA	6523	NM_013324	1154	Hs.655334	NM_013324	ENSG00000114737	CISH	BACTS2|CIS|CIS-1|G18|SOCS	cytokine inducible SH2 containing protein	protein-coding
MACS_peak_129	chr10	112582346	112582810	+	638.46	NA	intron (NM_001134363, intron 11 of 13)	NA	48084	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
MACS_peak_259	chr14	77866545	77867060	+	636.66	NA	intron (NM_001113475, intron 5 of 5)	NA	22597	NM_001113475	122945	Hs.97556	NM_138791	ENSG00000165555	NOXRED1	C14orf148	NADP dependent oxidoreductase domain containing 1	protein-coding
MACS_peak_414	chr17	80550602	80551416	+	618.55	NA	intron (NM_004514, intron 8 of 8)	NA	55311	NM_019613	56270	Hs.132161	NM_019613	ENSG00000141580	WDR45B	NEDSBAS|WDR45L|WIPI-3|WIPI3	WD repeat domain 45B	protein-coding
MACS_peak_928	chr9	95380823	95381408	+	617.04	NA	non-coding (NR_036505, exon 1 of 1)	NA	783	NR_036505	100128361	Hs.660395	NR_036505		LOC100128361	-	uncharacterized LOC100128361	ncRNA
MACS_peak_572	chr20	48901127	48901653	+	613.10	NA	Intergenic	NA	-7867	NR_034124	284751	Hs.282325	NM_001025463	ENSG00000203999	LINC01270	-	long intergenic non-protein coding RNA 1270	ncRNA
MACS_peak_493	chr2	88490834	88491308	+	610.07	NA	Intergenic	NA	18413	NM_018271	55258	Hs.739080	NM_018271	ENSG00000144115	THNSL2	SOFAT|THS2|TSH2	threonine synthase like 2	protein-coding
MACS_peak_160	chr11	77971022	77971530	+	603.17	NA	intron (NM_080491, intron 2 of 9)	NA	71311	NM_020798	57558	Hs.531249	NM_020798	ENSG00000118369	USP35	-	ubiquitin specific peptidase 35	protein-coding
MACS_peak_1	chr1	1009009	1009472	+	593.79	NA	intron (NM_001205252, intron 1 of 1)	NA	446	NM_001205252	401934	Hs.568137	NM_001205252	ENSG00000237330	RNF223	-	ring finger protein 223	protein-coding
MACS_peak_548	chr2	227015869	227016273	+	588.78	NA	intron (NR_046102, intron 2 of 6)	NA	8561	NR_046102	646736	Hs.712836	NR_046102		LOC646736	-	uncharacterized LOC646736	ncRNA
MACS_peak_135	chr10	127313396	127313811	+	584.15	NA	intron (NM_001318133, intron 3 of 3)	NA	50663	NR_023362	100169752	Hs.652647	NR_023362	ENSG00000237675	TEX36-AS1	-	TEX36 antisense RNA 1	ncRNA
MACS_peak_291	chr15	39960580	39961056	+	582.60	NA	intron (NM_152597, intron 10 of 11)	NA	87538	NM_003246	7057	Hs.164226	NM_003246	ENSG00000137801	THBS1	THBS|THBS-1|TSP|TSP-1|TSP1	thrombospondin 1	protein-coding
MACS_peak_791	chr6	53329690	53330163	+	578.16	NA	Intergenic	NA	79973	NM_001197115	2729	Hs.654465	NM_001498	ENSG00000001084	GCLC	GCL|GCS|GLCL|GLCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
MACS_peak_154	chr11	69329951	69330435	+	559.64	NA	Intergenic	NA	29864	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
MACS_peak_817	chr7	4722972	4723379	+	554.44	NA	intron (NM_001037165, intron 1 of 8)	NA	1249	NM_001037165	221937	Hs.487393	NM_001037165	ENSG00000164916	FOXK1	FOXK1L	forkhead box K1	protein-coding
MACS_peak_361	chr16	85499598	85500060	+	550.12	NA	Intergenic	NA	-145186	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
MACS_peak_671	chr3	150474210	150474718	+	533.71	NA	intron (NM_005067, intron 1 of 1)	NA	6492	NM_005067	6478	Hs.477959	NM_005067	ENSG00000181788	SIAH2	hSiah2	siah E3 ubiquitin protein ligase 2	protein-coding
MACS_peak_125	chr10	104928074	104928556	+	530.05	NA	intron (NM_001351179, intron 2 of 19)	NA	8499	NM_001351190	22978	Hs.97439	NM_012229	ENSG00000076685	NT5C2	GMP|NT5B|PNT5|SPG45|SPG65|cN-II	5'-nucleotidase, cytosolic II	protein-coding
MACS_peak_697	chr3	194215643	194216139	+	529.09	NA	Intergenic	NA	8022	NR_033929	401106	Hs.407087	NR_033929		LINC00884	-	long intergenic non-protein coding RNA 884	ncRNA
MACS_peak_888	chr8	102527675	102528110	+	509.70	NA	intron (NM_001330593, intron 1 of 15)	NA	23225	NM_024915	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|PPCD4|TFCP2L3	grainyhead like transcription factor 2	protein-coding
MACS_peak_435	chr19	7968840	7969330	+	507.75	NA	intron (NM_145185, intron 1 of 10)	NA	323	NM_001297556	5609	Hs.531754	NM_145185	ENSG00000076984	MAP2K7	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	mitogen-activated protein kinase kinase 7	protein-coding
MACS_peak_595	chr21	38936974	38937466	+	493.16	NA	Intergenic	NA	144619	NM_130438	1859	Hs.368240	NM_001396	ENSG00000157540	DYRK1A	DYRK|DYRK1|HP86|MNB|MNBH|MRD7	dual specificity tyrosine phosphorylation regulated kinase 1A	protein-coding
MACS_peak_301	chr15	64188963	64189490	+	480.20	NA	Intergenic	NA	-26008	NR_029944	494334		NR_029944	ENSG00000199156	MIR422A	MIRN422A	microRNA 422a	ncRNA
MACS_peak_161	chr11	78770864	78771358	+	472.80	NA	intron (NM_001098816, intron 6 of 33)	NA	342042	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
MACS_peak_159	chr11	77867376	77867817	+	452.47	NA	intron (NR_102281, intron 2 of 2)	NA	16757	NR_102280	100289388	Hs.628183	NM_203432	ENSG00000246174	KCTD21-AS1	-	KCTD21 antisense RNA 1	ncRNA
MACS_peak_459	chr19	51547641	51548074	+	448.01	NA	Intergenic	NA	-9599	NM_001370125	43849	Hs.411572	NM_019598	ENSG00000186474	KLK12	KLK-L5|KLKL5	kallikrein related peptidase 12	protein-coding
MACS_peak_801	chr6	120462738	120463164	+	447.85	NA	Intergenic	NA	126626	NR_036098	100422951		NR_036098	ENSG00000265725	MIR3144	mir-3144	microRNA 3144	ncRNA
MACS_peak_970	chrX	66915779	66916217	+	446.12	NA	TTS (NM_001348064)	NA	151533	NM_001348063	367	Hs.76704	NM_000044	ENSG00000169083	AR	AIS|AR8|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	androgen receptor	protein-coding
MACS_peak_196	chr12	75265484	75265974	+	445.76	NA	Intergenic	NA	334114	NM_001136262	552889	Hs.744849	NM_001136262	ENSG00000253719	ATXN7L3B	lnc-SCA7	ataxin 7 like 3B	protein-coding
MACS_peak_85	chr10	17487640	17488130	+	445.51	NA	intron (NM_001004470, intron 2 of 7)	NA	8709	NM_001345961	338596	Hs.677766	NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
MACS_peak_325	chr15	99292434	99292792	+	443.89	NA	intron (NM_000875, intron 2 of 20)	NA	-35042	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
MACS_peak_849	chr7	92237767	92238336	+	429.77	NA	3' UTR (NM_001259, exon 8 of 8)	NA	-18347	NR_109929	257415	Hs.18564	NM_152789	ENSG00000234545	FAM133B	-	family with sequence similarity 133 member B	protein-coding
MACS_peak_420	chr18	20837696	20838208	+	424.02	NA	non-coding (NR_023359, exon 7 of 7)	NA	102163	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
MACS_peak_608	chr22	29209602	29210189	+	423.45	NA	Intergenic	NA	-13335	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
MACS_peak_770	chr5	173910342	173910839	+	421.30	NA	intron (NR_125806, intron 2 of 5)	NA	147233	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
MACS_peak_486	chr2	65527306	65527725	+	414.97	NA	Intergenic	NA	66397	NM_001128210	200734	Hs.59332	NM_181784	ENSG00000198369	SPRED2	Spred-2	sprouty related EVH1 domain containing 2	protein-coding
MACS_peak_121	chr10	95194742	95195233	+	397.79	NA	intron (NM_013451, intron 3 of 53)	NA	47104	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
MACS_peak_851	chr7	97881374	97881804	+	395.66	NA	promoter-TSS (NM_015395)	NA	-45	NM_015395	25851	Hs.592281	NM_015395	ENSG00000205356	TECPR1	-	tectonin beta-propeller repeat containing 1	protein-coding
MACS_peak_625	chr22	43130395	43130900	+	388.76	NA	Intergenic	NA	-13340	NM_001318038	53947	Hs.105956	NM_017436	ENSG00000128274	A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	alpha 1,4-galactosyltransferase (P blood group)	protein-coding
MACS_peak_808	chr6	135532392	135532850	+	387.92	NA	intron (NR_134962, intron 14 of 14)	NA	-27677	NR_030317	693126		NR_030317	ENSG00000207689	MIR548A2	MIRN548A2	microRNA 548a-2	ncRNA
MACS_peak_948	chr9	129405211	129405614	+	386.43	NA	intron (NM_001174147, intron 2 of 7)	NA	28690	NM_002316	4010	Hs.129133	NM_002316	ENSG00000136944	LMX1B	LMX1.2|NPS1	LIM homeobox transcription factor 1 beta	protein-coding
MACS_peak_38	chr1	121484094	121485450	+	383.44	NA	Intergenic	NA	223862	NR_003955	647121	Hs.697682	NR_003955	ENSG00000231752	EMBP1	-	embigin pseudogene 1	pseudo
MACS_peak_270	chr14	93483642	93484145	+	382.19	NA	intron (NM_001142593, intron 3 of 10)	NA	19426	NM_001363707	3705	Hs.308122	NM_014216	ENSG00000100605	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	protein-coding
MACS_peak_980	chrX	142020818	142021246	+	373.80	NA	Intergenic	NA	-92682	NM_001009613	441525	Hs.535082	NM_001009613	ENSG00000189326	SPANXN4	CT11.9	SPANX family member N4	protein-coding
MACS_peak_409	chr17	72756821	72757177	+	372.20	NA	intron (NM_004252, intron 1 of 5)	NA	12232	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
MACS_peak_109	chr10	62608392	62608832	+	370.42	NA	Intergenic	NA	70376	NM_001786	983	Hs.732435	NM_001786	ENSG00000170312	CDK1	CDC2|CDC28A|P34CDC2	cyclin dependent kinase 1	protein-coding
MACS_peak_550	chr2	238467583	238468029	+	369.67	NA	Intergenic	NA	-7411	NM_015893	51052	Hs.247710	NM_015893	ENSG00000071677	PRLH	PRH|PRRP	prolactin releasing hormone	protein-coding
MACS_peak_61	chr1	188401487	188401982	+	368.29	NA	Intergenic	NA	988974	NR_132374	106144535	Hs.568709	NR_132374		LINC01037	-	long intergenic non-protein coding RNA 1037	ncRNA
MACS_peak_893	chr8	110552080	110552634	+	367.97	NA	promoter-TSS (NM_004215)	NA	-45	NM_004215	9166	Hs.409368	NM_004215	ENSG00000147654	EBAG9	EB9|PDAF	estrogen receptor binding site associated antigen 9	protein-coding
MACS_peak_769	chr5	172962383	172962923	+	362.86	NA	Intergenic	NA	-43984	NR_027108	285593	Hs.409730	NR_027108	ENSG00000253955	LOC285593	-	uncharacterized LOC285593	ncRNA
MACS_peak_143	chr11	30543176	30543615	+	355.43	NA	intron (NM_001145399, intron 3 of 6)	NA	58645	NM_001584	744	Hs.289795	NM_001584	ENSG00000066382	MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2	protein-coding
MACS_peak_439	chr19	16114331	16114837	+	349.35	NA	Intergenic	NA	-11860	NR_026828	126536	Hs.131824	NR_026828	ENSG00000205396	LINC00661	-	long intergenic non-protein coding RNA 661	ncRNA
MACS_peak_905	chr8	128882815	128883269	+	349.32	NA	intron (NR_003367, intron 1 of 8)	NA	74834	NR_031609	100302185		NR_031609	ENSG00000283710	MIR1204	hsa-mir-1204	microRNA 1204	ncRNA
MACS_peak_792	chr6	58776483	58779358	+	348.07	NA	Intergenic	NA	-490196	NR_132996	106660612	Hs.561539	NR_125727	ENSG00000215190	LINC00680	-	long intergenic non-protein coding RNA 680	ncRNA
MACS_peak_17	chr1	44296490	44296930	+	345.45	NA	intron (NM_174971, intron 4 of 11)	NA	-7584	NR_106727	102464830		NR_106727	ENSG00000283477	MIR6079	hsa-mir-6079	microRNA 6079	ncRNA
MACS_peak_875	chr8	67434719	67435108	+	342.01	NA	Intergenic	NA	29112	NM_152765	254778	Hs.268869	NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
MACS_peak_57	chr1	178694810	178695286	+	341.66	NA	intron (NM_001286247, intron 1 of 18)	NA	669	NM_152663	55103	Hs.632485	NM_018037	ENSG00000116191	RALGPS2	dJ595C2.1	Ral GEF with PH domain and SH3 binding motif 2	protein-coding
MACS_peak_951	chr9	130784410	130784883	+	338.46	NA	Intergenic	NA	-41378	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
MACS_peak_55	chr1	177417848	177418302	+	338.29	NA	Intergenic	NA	97353	NR_126001	102724661	Hs.146628	NR_126001		LINC01645	-	long intergenic non-protein coding RNA 1645	ncRNA
MACS_peak_876	chr8	69765538	69765994	+	337.06	NA	Intergenic	NA	250659	NR_039986	100505718	Hs.122386	NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
MACS_peak_19	chr1	45982409	45982816	+	336.14	NA	intron (NM_002574, intron 2 of 5)	NA	4944	NM_181697	5052	Hs.180909	NM_002574	ENSG00000117450	PRDX1	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	peroxiredoxin 1	protein-coding
MACS_peak_488	chr2	70843287	70843822	+	329.32	NA	Intergenic	NA	-62596	NM_003236	7039	Hs.170009	NM_003236	ENSG00000163235	TGFA	TFGA	transforming growth factor alpha	protein-coding
MACS_peak_977	chrX	119619713	119620153	+	327.47	NA	Intergenic	NA	-16729	NM_013995	3920	Hs.496684	NM_002294	ENSG00000005893	LAMP2	CD107b|LAMP-2|LAMPB|LGP-96|LGP110	lysosomal associated membrane protein 2	protein-coding
MACS_peak_257	chr14	77577538	77577958	+	325.93	NA	intron (NM_033426, intron 3 of 3)	NA	13147	NM_033426	85457	Hs.709066	NM_033426	ENSG00000198894	CIPC	KIAA1737	CLOCK interacting pacemaker	protein-coding
MACS_peak_558	chr20	35215612	35216042	+	324.25	NA	intron (NM_001199535, intron 2 of 4)	NA	12870	NM_001199515	60436	Hs.632264	NM_021809	ENSG00000118707	TGIF2	-	TGFB induced factor homeobox 2	protein-coding
MACS_peak_797	chr6	109028672	109029104	+	318.93	NA	Intergenic	NA	-43969	NR_033376	387111	Hs.520310	NR_033376	ENSG00000203801	LINC00222	C6orf181|NCRNA00222|dJ354J5.2	long intergenic non-protein coding RNA 222	ncRNA
MACS_peak_315	chr15	78045606	78045989	+	318.70	NA	intron (NM_001301189, intron 2 of 5)	NA	-32704	NM_001301197	84894	Hs.656765	NM_032808	ENSG00000169783	LINGO1	LERN1|LRRN6A|MRT64|UNQ201	leucine rich repeat and Ig domain containing 1	protein-coding
MACS_peak_9	chr1	19923200	19923447	+	302.62	NA	promoter-TSS (NR_135054)	NA	3	NR_135054	105378614	Hs.430098	NR_135054	ENSG00000235185	LOC105378614	-	uncharacterized LOC105378614	ncRNA
MACS_peak_123	chr10	103880062	103880488	+	301.40	NA	promoter-TSS (NM_001113407)	NA	-45	NM_001113407	8861	Hs.454418	NM_003893	ENSG00000198728	LDB1	CLIM-2|CLIM2|LDB-1|NLI	LIM domain binding 1	protein-coding
MACS_peak_871	chr8	36919718	36920148	+	299.49	NA	Intergenic	NA	-59538	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
