PeakID (cmd=annotatePeaks.pl ESR1_WTD.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_250	chr5	105577165	105577638	+	456.22	NA	Intergenic	NA	769314	NR_104671	102467213	Hs.570923	NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
MACS_peak_115	chr16	4202334	4202751	+	444.59	NA	Intergenic	NA	-36099	NM_001116	115	Hs.391860	NM_001116	ENSG00000162104	ADCY9	AC9|ACIX	adenylate cyclase 9	protein-coding
MACS_peak_146	chr18	20837728	20838211	+	440.71	NA	non-coding (NR_023359, exon 7 of 7)	NA	102180	NM_138375	91768	Hs.11108	NM_138375	ENSG00000134508	CABLES1	CABL1|CABLES|HsT2563|IK3-1	Cdk5 and Abl enzyme substrate 1	protein-coding
MACS_peak_13	chr1	154162994	154163441	+	412.68	NA	intron (NR_103460, intron 3 of 3)	NA	1359	NM_001364682	7170	Hs.535581	NM_152263	ENSG00000143549	TPM3	CAPM1|CFTD|HEL-189|HEL-S-82p|NEM1|OK/SW-cl.5|TM-5|TM3|TM30|TM30nm|TM5|TPM3nu|TPMsk3|TRK|hscp30	tropomyosin 3	protein-coding
MACS_peak_289	chr8	33102539	33102945	+	404.36	NA	Intergenic	NA	227922	NM_032664	84750	Hs.458713	NM_032664	ENSG00000172728	FUT10	FUCTX	fucosyltransferase 10	protein-coding
MACS_peak_314	chr9	130784405	130784879	+	397.86	NA	Intergenic	NA	-41374	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
MACS_peak_94	chr14	93483628	93484143	+	392.57	NA	intron (NM_001142593, intron 3 of 10)	NA	19434	NM_001363707	3705	Hs.308122	NM_014216	ENSG00000100605	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	protein-coding
MACS_peak_297	chr8	102527694	102528186	+	385.33	NA	intron (NM_001330593, intron 1 of 15)	NA	23273	NM_024915	79977	Hs.661088	NM_024915	ENSG00000083307	GRHL2	BOM|DFNA28|ECTDS|PPCD4|TFCP2L3	grainyhead like transcription factor 2	protein-coding
MACS_peak_155	chr19	18392389	18392912	+	382.63	NA	promoter-TSS (NR_036155)	NA	-218	NM_001286968	3727	Hs.2780	NM_005354	ENSG00000130522	JUND	AP-1	JunD proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_316	chr9	138284331	138284832	+	380.30	NA	Intergenic	NA	49486	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
MACS_peak_50	chr11	72497357	72497957	+	374.21	NA	intron (NM_006645, intron 1 of 6)	NA	3082	NR_039841	100616410		NR_039841	ENSG00000265064	MIR4692	-	microRNA 4692	ncRNA
MACS_peak_49	chr11	70651889	70652382	+	367.91	NA	intron (NM_012309, intron 10 of 22)	NA	-56760	NR_073536	220070	Hs.326766	NM_145308	ENSG00000171671	SHANK2-AS3	C11orf76	SHANK2 antisense RNA 3	ncRNA
MACS_peak_315	chr9	130809430	130809862	+	367.17	NA	Intergenic	NA	19953	NM_197956	203245	Hs.373606	NM_197956	ENSG00000171169	NAIF1	C9orf90|bA379C10.2	nuclear apoptosis inducing factor 1	protein-coding
MACS_peak_167	chr2	11679583	11680112	+	357.56	NA	promoter-TSS (NM_148903)	NA	-98	NM_148903	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_40	chr10	127313268	127313765	+	341.25	NA	intron (NM_001318133, intron 3 of 3)	NA	50576	NR_023362	100169752	Hs.652647	NR_023362	ENSG00000237675	TEX36-AS1	-	TEX36 antisense RNA 1	ncRNA
MACS_peak_263	chr6	83279700	83280145	+	327.60	NA	Intergenic	NA	205961	NM_001166392	7162	Hs.71947	NM_006670	ENSG00000146242	TPBG	5T4|5T4AG|M6P1|WAIF1	trophoblast glycoprotein	protein-coding
MACS_peak_53	chr11	77971030	77971523	+	315.78	NA	intron (NM_080491, intron 2 of 9)	NA	71311	NM_020798	57558	Hs.531249	NM_020798	ENSG00000118369	USP35	-	ubiquitin specific peptidase 35	protein-coding
MACS_peak_72	chr12	75265531	75266089	+	311.53	NA	Intergenic	NA	334195	NM_001136262	552889	Hs.744849	NM_001136262	ENSG00000253719	ATXN7L3B	lnc-SCA7	ataxin 7 like 3B	protein-coding
MACS_peak_201	chr20	48901155	48901595	+	308.33	NA	Intergenic	NA	-7882	NR_034124	284751	Hs.282325	NM_001025463	ENSG00000203999	LINC01270	-	long intergenic non-protein coding RNA 1270	ncRNA
MACS_peak_290	chr8	37002281	37002763	+	299.03	NA	intron (NR_031672, intron 1 of 2).2	NA	23051	NR_031672	100302233		NR_031672	ENSG00000221641	MIR1268A	MIR1268|MIRN1268|hsa-mir-1268|hsa-mir-1268a	microRNA 1268a	ncRNA
MACS_peak_319	chrX	37853024	37853457	+	295.75	NA	Intergenic	NA	3208	NM_012274	25763	Hs.122959	NM_012274	ENSG00000187516	HYPM	CXorf27|HIP17	huntingtin interacting protein M	protein-coding
MACS_peak_217	chr22	43130393	43130916	+	293.53	NA	Intergenic	NA	-13347	NM_001318038	53947	Hs.105956	NM_017436	ENSG00000128274	A4GALT	A14GALT|A4GALT1|Gb3S|P(k)|P1|P1PK|PK	alpha 1,4-galactosyltransferase (P blood group)	protein-coding
MACS_peak_226	chr3	150474181	150474708	+	289.71	NA	intron (NM_005067, intron 1 of 1)	NA	6512	NM_005067	6478	Hs.477959	NM_005067	ENSG00000181788	SIAH2	hSiah2	siah E3 ubiquitin protein ligase 2	protein-coding
MACS_peak_64	chr12	2905018	2905311	+	284.56	NA	intron (NM_002014, intron 1 of 9)	NA	1028	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FKBP prolyl isomerase 4	protein-coding
MACS_peak_254	chr5	173910312	173910827	+	282.81	NA	intron (NR_125806, intron 2 of 5)	NA	147212	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
MACS_peak_158	chr19	39204998	39205463	+	273.10	NA	intron (NM_001322033, intron 9 of 20)	NA	29884	NM_144691	147968	Hs.731775	NM_144691	ENSG00000182472	CAPN12	-	calpain 12	protein-coding
MACS_peak_32	chr10	95194729	95195171	+	268.20	NA	intron (NM_013451, intron 3 of 53)	NA	47141	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
MACS_peak_48	chr11	69330008	69330509	+	267.46	NA	Intergenic	NA	29929	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
MACS_peak_286	chr8	11588069	11588641	+	266.29	NA	intron (NM_002052, intron 2 of 6)	NA	22990	NM_001308093	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
MACS_peak_23	chr10	17487663	17488165	+	265.51	NA	intron (NM_001004470, intron 2 of 7)	NA	8680	NM_001345961	338596	Hs.677766	NM_001004470	ENSG00000148488	ST8SIA6	SIA8F|SIAT8-F|SIAT8F|ST8SIA-VI|ST8SiaVI	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6	protein-coding
MACS_peak_114	chr16	803397	803858	+	260.95	NA	Intergenic	NA	-7107	NM_001177355	10232	Hs.408488	NM_005823	ENSG00000102854	MSLN	MPF|SMRP	mesothelin	protein-coding
MACS_peak_261	chr6	53329729	53330105	+	256.88	NA	Intergenic	NA	79982	NM_001197115	2729	Hs.654465	NM_001498	ENSG00000001084	GCLC	GCL|GCS|GLCL|GLCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
MACS_peak_134	chr17	38604893	38605361	+	256.60	NA	intron (NM_001552, intron 1 of 3)	NA	5425	NM_001552	3487	Hs.462998	NM_001552	ENSG00000141753	IGFBP4	BP-4|HT29-IGFBP|IBP4|IGFBP-4	insulin like growth factor binding protein 4	protein-coding
MACS_peak_277	chr7	45583090	45583439	+	256.03	NA	Intergenic	NA	-30475	NM_001281768	107	Hs.192215	NM_021116	ENSG00000164742	ADCY1	AC1|DFNB44	adenylate cyclase 1	protein-coding
MACS_peak_141	chr17	64948264	64948648	+	255.72	NA	Intergenic	NA	-12367	NM_014405	27092	Hs.514423	NM_014405	ENSG00000075461	CACNG4	-	calcium voltage-gated channel auxiliary subunit gamma 4	protein-coding
MACS_peak_18	chr1	188401515	188402003	+	251.55	NA	Intergenic	NA	988999	NR_132374	106144535	Hs.568709	NR_132374		LINC01037	-	long intergenic non-protein coding RNA 1037	ncRNA
MACS_peak_177	chr2	88490848	88491256	+	247.59	NA	Intergenic	NA	18394	NM_018271	55258	Hs.739080	NM_018271	ENSG00000144115	THNSL2	SOFAT|THS2|TSH2	threonine synthase like 2	protein-coding
MACS_peak_131	chr16	85499598	85499944	+	247.35	NA	Intergenic	NA	-145244	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
MACS_peak_193	chr2	217957221	217957737	+	238.75	NA	Intergenic	NA	-189977	NR_133642	105373877		NR_133642		DIRC3-AS1	-	DIRC3 antisense RNA 1	ncRNA
MACS_peak_8	chr1	43458128	43458386	+	234.67	NA	Intergenic	NA	33537	NR_033967	440584	Hs.260928	NR_033967	ENSG00000227533	SLC2A1-AS1	-	SLC2A1 antisense RNA 1	ncRNA
MACS_peak_245	chr4	148988695	148989046	+	233.16	NA	intron (NM_024605, intron 22 of 22)	NA	285124	NR_039962	100616246		NR_039962	ENSG00000264274	MIR4799	-	microRNA 4799	ncRNA
MACS_peak_132	chr17	5217130	5217526	+	229.52	NA	intron (NM_004703, intron 2 of 18)	NA	31749	NM_004703	9135	Hs.584784	NM_004703	ENSG00000029725	RABEP1	RAB5EP|RABPT5	rabaptin, RAB GTPase binding effector protein 1	protein-coding
MACS_peak_308	chr9	95380867	95381368	+	224.57	NA	non-coding (NR_036505, exon 1 of 1)	NA	785	NR_036505	100128361	Hs.660395	NR_036505		LOC100128361	-	uncharacterized LOC100128361	ncRNA
MACS_peak_268	chr6	120462841	120463191	+	221.81	NA	Intergenic	NA	126691	NR_036098	100422951		NR_036098	ENSG00000265725	MIR3144	mir-3144	microRNA 3144	ncRNA
MACS_peak_204	chr20	55732156	55733016	+	221.02	NA	Intergenic	NA	-56166	NR_110631	102723590	Hs.667674	NR_110631		BMP7-AS1	-	BMP7 antisense RNA 1	ncRNA
MACS_peak_233	chr3	188816788	188817243	+	218.93	NA	Intergenic	NA	-72745	NM_198485	285386	Hs.729544	NM_198485	ENSG00000188001	TPRG1	FAM79B	tumor protein p63 regulated 1	protein-coding
MACS_peak_239	chr4	56813288	56813634	+	218.46	NA	Intergenic	NA	-1650	NM_025009	9662	Hs.518767	NM_014645	ENSG00000174799	CEP135	CEP4|KIAA0635|MCPH8	centrosomal protein 135	protein-coding
MACS_peak_210	chr21	43796393	43796804	+	218.18	NA	intron (NM_001256317, intron 11 of 12)	NA	-9954	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_307	chr9	91144955	91145378	+	218.15	NA	Intergenic	NA	-4850	NM_001161625	158046	Hs.734507	NM_145283	ENSG00000130045	NXNL2	C9orf121|RDCVF2|RdCVF2L	nucleoredoxin like 2	protein-coding
MACS_peak_163	chr19	51547660	51548041	+	218.12	NA	Intergenic	NA	-9592	NM_001370125	43849	Hs.411572	NM_019598	ENSG00000186474	KLK12	KLK-L5|KLKL5	kallikrein related peptidase 12	protein-coding
MACS_peak_99	chr15	39960633	39961007	+	217.04	NA	intron (NM_152597, intron 10 of 11)	NA	87540	NM_003246	7057	Hs.164226	NM_003246	ENSG00000137801	THBS1	THBS|THBS-1|TSP|TSP-1|TSP1	thrombospondin 1	protein-coding
MACS_peak_112	chr15	99292339	99292844	+	205.90	NA	intron (NM_000875, intron 2 of 20)	NA	-35064	NR_039864	100616432		NR_039864	ENSG00000264480	MIR4714	-	microRNA 4714	ncRNA
MACS_peak_235	chr3	197079872	197080284	+	203.88	NA	Intergenic	NA	-53886	NM_001366203	1739	Hs.292549	NM_004087	ENSG00000075711	DLG1	DLGH1|SAP-97|SAP97|hdlg	discs large MAGUK scaffold protein 1	protein-coding
MACS_peak_27	chr10	69968224	69968605	+	203.53	NA	intron (NM_032578, intron 19 of 19)	NA	23456	NM_145178	220202	Hs.175396	NM_145178	ENSG00000179774	ATOH7	Math5|NCRNA|PHPVAR|RNANC|bHLHa13	atonal bHLH transcription factor 7	protein-coding
MACS_peak_148	chr18	74398755	74399248	+	196.63	NA	Intergenic	NA	-2985	NR_122073	400661	Hs.514963	NR_122073	ENSG00000276397	LINC01879	-	long intergenic non-protein coding RNA 1879	ncRNA
MACS_peak_145	chr17	81128635	81129046	+	196.14	NA	Intergenic	NA	-45826	NR_029406	388574	Hs.546918	NR_029406	ENSG00000232938	RPL23AP87	-	ribosomal protein L23a pseudogene 87	pseudo
MACS_peak_166	chr2	11672402	11672841	+	193.69	NA	Intergenic	NA	-1550	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_176	chr2	70843363	70843736	+	187.99	NA	Intergenic	NA	-62591	NM_003236	7039	Hs.170009	NM_003236	ENSG00000163235	TGFA	TFGA	transforming growth factor alpha	protein-coding
MACS_peak_1	chr1	1008961	1009439	+	184.99	NA	intron (NM_001205252, intron 1 of 1)	NA	486	NM_001205252	401934	Hs.568137	NM_001205252	ENSG00000237330	RNF223	-	ring finger protein 223	protein-coding
MACS_peak_269	chr6	135532405	135532711	+	184.04	NA	intron (NR_134962, intron 14 of 14)	NA	-27740	NR_030317	693126		NR_030317	ENSG00000207689	MIR548A2	MIRN548A2	microRNA 548a-2	ncRNA
MACS_peak_11	chr1	114519133	114519628	+	183.31	NA	3' UTR (NM_001369807, exon 16 of 16)	NA	-2633	NM_001286353	56944	Hs.9315	NM_020190	ENSG00000116774	OLFML3	HNOEL-iso|OLF44	olfactomedin like 3	protein-coding
MACS_peak_105	chr15	71397010	71397397	+	180.57	NA	Intergenic	NA	-36585	NM_024817	79875	Hs.387057	NM_024817	ENSG00000187720	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin type 1 domain containing 4	protein-coding
MACS_peak_209	chr21	38937017	38937439	+	174.61	NA	Intergenic	NA	144627	NM_130438	1859	Hs.368240	NM_001396	ENSG00000157540	DYRK1A	DYRK|DYRK1|HP86|MNB|MNBH|MRD7	dual specificity tyrosine phosphorylation regulated kinase 1A	protein-coding
MACS_peak_9	chr1	44296506	44296902	+	173.60	NA	intron (NM_174971, intron 4 of 11)	NA	-7590	NR_106727	102464830		NR_106727	ENSG00000283477	MIR6079	hsa-mir-6079	microRNA 6079	ncRNA
MACS_peak_162	chr19	50073871	50074193	+	172.37	NA	intron (NM_001270960, intron 1 of 8)	NA	9781	NM_001363649	51070	Hs.7236	NM_015953	ENSG00000142546	NOSIP	CGI-25	nitric oxide synthase interacting protein	protein-coding
MACS_peak_86	chr14	44367343	44367804	+	167.55	NA	Intergenic	NA	608913	NM_032135	84075	Hs.307086	NM_032135	ENSG00000189139	FSCB	C14orf155	fibrous sheath CABYR binding protein	protein-coding
MACS_peak_172	chr2	45979682	45980161	+	165.20	NA	intron (NM_005400, intron 1 of 14)	NA	101107	NM_005400	5581	Hs.580351	NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
MACS_peak_231	chr3	174854458	174854797	+	164.63	NA	intron (NM_207015, intron 2 of 13)	NA	-21595	NR_046390	100862679	Hs.148810	NR_046390	ENSG00000230292	NAALADL2-AS3	-	NAALADL2 antisense RNA 3	ncRNA
MACS_peak_283	chr7	97881372	97881789	+	163.20	NA	promoter-TSS (NM_015395)	NA	-36	NM_015395	25851	Hs.592281	NM_015395	ENSG00000205356	TECPR1	-	tectonin beta-propeller repeat containing 1	protein-coding
MACS_peak_130	chr16	85339698	85340090	+	163.20	NA	promoter-TSS (NR_049816)	NA	37	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
MACS_peak_152	chr19	7968893	7969347	+	163.20	NA	intron (NM_145185, intron 1 of 10)	NA	358	NM_001297556	5609	Hs.531754	NM_145185	ENSG00000076984	MAP2K7	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	mitogen-activated protein kinase kinase 7	protein-coding
MACS_peak_108	chr15	78045470	78045886	+	162.17	NA	intron (NM_001301189, intron 2 of 5)	NA	-32585	NM_001301197	84894	Hs.656765	NM_032808	ENSG00000169783	LINGO1	LERN1|LRRN6A|MRT64|UNQ201	leucine rich repeat and Ig domain containing 1	protein-coding
MACS_peak_149	chr19	3389991	3390294	+	161.83	NA	intron (NM_001245005, intron 2 of 9)	NA	23561	NM_001245004	4782	Hs.170131	NM_005597	ENSG00000141905	NFIC	CTF|CTF5|NF-I|NFI	nuclear factor I C	protein-coding
MACS_peak_271	chr6	157148455	157148800	+	161.61	NA	intron (NM_001346813, intron 1 of 19)	NA	-47762	NR_039676	100616154		NR_039676	ENSG00000271899	MIR4466	mir-4466	microRNA 4466	ncRNA
MACS_peak_208	chr21	16235596	16236072	+	159.35	NA	intron (NR_146322, intron 1 of 3)	NA	55155	NR_146322	107987295		NR_146322		LINC02246	-	long intergenic non-protein coding RNA 2246	ncRNA
MACS_peak_52	chr11	77867332	77867773	+	157.10	NA	intron (NR_102281, intron 2 of 2)	NA	16713	NR_102280	100289388	Hs.628183	NM_203432	ENSG00000246174	KCTD21-AS1	-	KCTD21 antisense RNA 1	ncRNA
MACS_peak_194	chr2	227015847	227016269	+	152.57	NA	intron (NR_046102, intron 2 of 6)	NA	8548	NR_046102	646736	Hs.712836	NR_046102		LOC646736	-	uncharacterized LOC646736	ncRNA
MACS_peak_292	chr8	69765557	69765915	+	151.41	NA	Intergenic	NA	250689	NR_039986	100505718	Hs.122386	NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
MACS_peak_136	chr17	39692250	39692614	+	150.37	NA	Intergenic	NA	-7872	NM_002276	3880	Hs.654568	NM_002276	ENSG00000171345	KRT19	CK19|K19|K1CS	keratin 19	protein-coding
MACS_peak_299	chr8	110552108	110552582	+	150.07	NA	promoter-TSS (NM_004215)	NA	-57	NM_004215	9166	Hs.409368	NM_004215	ENSG00000147654	EBAG9	EB9|PDAF	estrogen receptor binding site associated antigen 9	protein-coding
MACS_peak_293	chr8	69766650	69767024	+	148.69	NA	Intergenic	NA	249588	NR_039986	100505718	Hs.122386	NR_039986	ENSG00000253658	LINC01592	-	long intergenic non-protein coding RNA 1592	ncRNA
MACS_peak_294	chr8	87212144	87212550	+	148.25	NA	Intergenic	NA	30263	NM_138817	157724	Hs.149095	NM_138817	ENSG00000164893	SLC7A13	AGT-1|AGT1|XAT2	solute carrier family 7 member 13	protein-coding
MACS_peak_104	chr15	71389030	71389331	+	147.73	NA	Intergenic	NA	-44608	NM_024817	79875	Hs.387057	NM_024817	ENSG00000187720	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin type 1 domain containing 4	protein-coding
MACS_peak_252	chr5	131714290	131714701	+	146.58	NA	intron (NM_003060, intron 2 of 9)	NA	-8887	NR_110997	553103	Hs.570908	NR_110997	ENSG00000233006	MIR3936HG	SLC22A5-AS1	MIR3936 host gene	ncRNA
MACS_peak_56	chr11	84398480	84398908	+	142.07	NA	intron (NM_001351274, intron 5 of 26)	NA	33291	NM_001351276	1740	Hs.367656	NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
MACS_peak_197	chr20	19264069	19264406	+	141.31	NA	intron (NR_024564, intron 1 of 7)	NA	1003	NR_024564	100130264	Hs.683814	NR_024564	ENSG00000179447	LOC100130264	-	uncharacterized LOC100130264	ncRNA
MACS_peak_169	chr2	35522489	35522894	+	141.21	NA	Intergenic	NA	-173780	NR_039629	100616475		NR_039629	ENSG00000265301	MIR548AD	-	microRNA 548ad	ncRNA
MACS_peak_2	chr1	10010472	10010895	+	141.05	NA	TTS (NR_158969)	NA	7150	NM_022787	64802	Hs.633762	NM_022787	ENSG00000173614	NMNAT1	LCA9|NMNAT|PNAT1	nicotinamide nucleotide adenylyltransferase 1	protein-coding
