PeakID (cmd=annotatePeaks.pl ESR1_WTE.macsPeaks.bed hg19)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
MACS_peak_3416	chr19	18392041	18393089	+	3100.00	NA	NA	NA	-133	NM_001286968	3727	Hs.2780	NM_005354	ENSG00000130522	JUND	AP-1	JunD proto-oncogene, AP-1 transcription factor subunit	protein-coding
MACS_peak_739	chr10	43521538	43522507	+	3100.00	NA	NA	NA	29011	NR_049836	100847014		NR_049836	ENSG00000263795	MIR5100	-	microRNA 5100	ncRNA
MACS_peak_4535	chr21	44426372	44427625	+	3100.00	NA	NA	NA	32326	NM_004571	5316	Hs.431043	NM_004571	ENSG00000160199	PKNOX1	PREP1|pkonx1c	PBX/knotted 1 homeobox 1	protein-coding
MACS_peak_2	chr1	1008767	1009978	+	3100.00	NA	NA	NA	314	NM_001205252	401934	Hs.568137	NM_001205252	ENSG00000237330	RNF223	-	ring finger protein 223	protein-coding
MACS_peak_2356	chr15	75109132	75110426	+	3100.00	NA	NA	NA	4603	NM_021819	79748	Hs.620644	NM_021819	ENSG00000140506	LMAN1L	ERGIC-53L|ERGL	lectin, mannose binding 1 like	protein-coding
MACS_peak_3304	chr19	1512682	1514036	+	3100.00	NA	NA	NA	-341	NM_213604	339366	Hs.371674	NM_213604	ENSG00000185761	ADAMTSL5	THSD6	ADAMTS like 5	protein-coding
MACS_peak_3079	chr17	72765780	72767677	+	3100.00	NA	NA	NA	5756	NM_001305086	26151	Hs.144058	NM_015654	ENSG00000109065	NAT9	EBSP, hNATL	N-acetyltransferase 9 (putative)	protein-coding
MACS_peak_1799	chr13	69259837	69261344	+	3100.00	NA	NA	NA	198867	NR_038878	338862		NR_038878	ENSG00000281778	LINC00550	-	long intergenic non-protein coding RNA 550	ncRNA
MACS_peak_4089	chr2	216847141	216847853	+	3100.00	NA	NA	NA	30777	NM_018000	55686	Hs.620391	NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
MACS_peak_1590	chr12	102090376	102092904	+	3100.00	NA	NA	NA	222	NM_020244	56994	Hs.293077	NM_020244	ENSG00000111666	CHPT1	CPT|CPT1	choline phosphotransferase 1	protein-coding
MACS_peak_2768	chr16	85499137	85500209	+	3100.00	NA	NA	NA	-145342	NM_001134473	23199	Hs.461647	NM_014615	ENSG00000131149	GSE1	CRHSP24|KIAA0182	Gse1 coiled-coil protein	protein-coding
MACS_peak_6668	chr8	91012954	91014666	+	3100.00	NA	NA	NA	105	NM_001359	1666	Hs.492212	NM_001359	ENSG00000104325	DECR1	DECR|NADPH|SDR18C1	2,4-dienoyl-CoA reductase 1	protein-coding
MACS_peak_6925	chr9	91144804	91145440	+	3100.00	NA	NA	NA	-4894	NM_001161625	158046	Hs.734507	NM_145283	ENSG00000130045	NXNL2	C9orf121|RDCVF2|RdCVF2L	nucleoredoxin like 2	protein-coding
MACS_peak_7077	chr9	130784231	130785293	+	3100.00	NA	NA	NA	-41494	NM_001035254	399665	Hs.535972	NM_203305	ENSG00000167106	FAM102A	C9orf132|EEIG1|SYM-3A|bA203J24.7	family with sequence similarity 102 member A	protein-coding
MACS_peak_784	chr10	62607817	62609194	+	3100.00	NA	NA	NA	70269	NM_001786	983	Hs.732435	NM_001786	ENSG00000170312	CDK1	CDC2|CDC28A|P34CDC2	cyclin dependent kinase 1	protein-coding
MACS_peak_628	chr10	5701525	5702882	+	3100.00	NA	NA	NA	6355	NR_037164	79754	Hs.445899	NM_024701	ENSG00000196372	ASB13	-	ankyrin repeat and SOCS box containing 13	protein-coding
MACS_peak_2832	chr17	4436781	4438120	+	3100.00	NA	NA	NA	21229	NM_014520	10514	Hs.22824	NM_014520	ENSG00000132382	MYBBP1A	P160|PAP2|Pol5	MYB binding protein 1a	protein-coding
MACS_peak_7130	chr9	138284115	138285042	+	3100.00	NA	NA	NA	49483	NM_173520	157927	Hs.559511	NM_173520		C9orf62	-	chromosome 9 open reading frame 62	protein-coding
MACS_peak_3476	chr19	35808235	35808805	+	3100.00	NA	NA	NA	-11552	NM_001185101	933	Hs.579691	NM_001771	ENSG00000012124	CD22	SIGLEC-2|SIGLEC2	CD22 molecule	protein-coding
MACS_peak_4652	chr22	29913103	29914079	+	3100.00	NA	NA	NA	36053	NM_001002878	8563	Hs.75361	NM_003678	ENSG00000100296	THOC5	C22orf19|Fmip|PK1.3|fSAP79	THO complex 5	protein-coding
MACS_peak_4604	chr22	21270710	21271648	+	3100.00	NA	NA	NA	-516	NM_005207	1399	Hs.5613	NM_005207	ENSG00000099942	CRKL	-	CRK like proto-oncogene, adaptor protein	protein-coding
MACS_peak_1981	chr14	65584719	65585859	+	3100.00	NA	NA	NA	-15876	NR_073137	4149	Hs.285354	NM_002382	ENSG00000125952	MAX	bHLHd4	MYC associated factor X	protein-coding
MACS_peak_3421	chr19	18557421	18558564	+	3100.00	NA	NA	NA	-9049	NR_045574	51477	Hs.405873	NM_016368	ENSG00000105655	ISYNA1	INO1|INOS|IPS|IPS 1|IPS-1	inositol-3-phosphate synthase 1	protein-coding
MACS_peak_2739	chr16	83980203	83981134	+	3100.00	NA	NA	NA	-6177	NM_182981	29948	Hs.128055	NM_013370	ENSG00000140961	OSGIN1	BDGI|OKL38	oxidative stress induced growth inhibitor 1	protein-coding
MACS_peak_3078	chr17	72756386	72757521	+	3100.00	NA	NA	NA	12186	NM_004252	9368	Hs.724482	NM_004252	ENSG00000109062	SLC9A3R1	EBP50|NHERF|NHERF-1|NHERF1|NPHLOP2	SLC9A3 regulator 1	protein-coding
MACS_peak_5118	chr3	160990112	160990917	+	3100.00	NA	NA	NA	51436	NM_001320227	51068	Hs.598836	NM_015938	ENSG00000169251	NMD3	CGI-07	NMD3 ribosome export adaptor	protein-coding
MACS_peak_2147	chr14	100603111	100604162	+	3100.00	NA	NA	NA	22346	NM_206918	123099	Hs.159643	NM_206918	ENSG00000168350	DEGS2	C14orf66|DES2|FADS8	delta 4-desaturase, sphingolipid 2	protein-coding
MACS_peak_6564	chr8	22596162	22597329	+	3100.00	NA	NA	NA	-45752	NM_004430	1960	Hs.534313	NM_004430	ENSG00000179388	EGR3	EGR-3|PILOT	early growth response 3	protein-coding
MACS_peak_1627	chr12	116827799	116828928	+	3100.00	NA	NA	NA	37760	NR_039683	100616309		NR_039683	ENSG00000264037	MIR4472-2	-	microRNA 4472-2	ncRNA
MACS_peak_2068	chr14	90978183	90979390	+	3100.00	NA	NA	NA	4767	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
MACS_peak_6709	chr8	102132506	102133734	+	3100.00	NA	NA	NA	68838	NR_033962	441374	Hs.652045	NR_033962	ENSG00000248599	FLJ42969	-	uncharacterized LOC441374	ncRNA
MACS_peak_5853	chr6	15221704	15222831	+	3100.00	NA	NA	NA	-24033	NM_004973	3720	Hs.269059	NM_004973	ENSG00000008083	JARID2	JMJ	jumonji and AT-rich interaction domain containing 2	protein-coding
MACS_peak_6061	chr6	125475728	125476750	+	3100.00	NA	NA	NA	847	NM_001003395	7164	Hs.591347	NM_003287	ENSG00000111907	TPD52L1	D53	TPD52 like 1	protein-coding
MACS_peak_699	chr10	29214054	29214963	+	3100.00	NA	NA	NA	79171	NM_001278522	283080		NM_001278522		C10orf126	bA492M23.1	chromosome 10 open reading frame 126	protein-coding
MACS_peak_1286	chr11	77867029	77868170	+	3100.00	NA	NA	NA	16760	NR_102280	100289388	Hs.628183	NM_203432	ENSG00000246174	KCTD21-AS1	-	KCTD21 antisense RNA 1	ncRNA
MACS_peak_4901	chr3	50642073	50643040	+	3100.00	NA	NA	NA	6649	NM_013324	1154	Hs.655334	NM_013324	ENSG00000114737	CISH	BACTS2|CIS|CIS-1|G18|SOCS	cytokine inducible SH2 containing protein	protein-coding
MACS_peak_6778	chr8	129153639	129155902	+	3100.00	NA	NA	NA	-7592	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
MACS_peak_4527	chr21	43786109	43787335	+	3100.00	NA	NA	NA	-78	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_891	chr10	95194688	95195585	+	3100.00	NA	NA	NA	46955	NM_133337	26509	Hs.602086	NM_013451	ENSG00000138119	MYOF	FER1L3	myoferlin	protein-coding
MACS_peak_2453	chr16	377070	377716	+	3100.00	NA	NA	NA	25330	NM_003502	8312	Hs.592082	NM_003502	ENSG00000103126	AXIN1	AXIN|PPP1R49	axin 1	protein-coding
MACS_peak_5688	chr5	132584796	132585883	+	3100.00	NA	NA	NA	178059	NR_031621	100302134		NR_031621	ENSG00000221287	MIR1289-2	MIRN1289-2|hsa-mir-1289-2	microRNA 1289-2	ncRNA
MACS_peak_2509	chr16	4202017	4202885	+	3100.00	NA	NA	NA	-36008	NM_001116	115	Hs.391860	NM_001116	ENSG00000162104	ADCY9	AC9|ACIX	adenylate cyclase 9	protein-coding
MACS_peak_1821	chr13	98950031	98950565	+	3100.00	NA	NA	NA	89520	NR_036129	100422881		NR_036129	ENSG00000263399	MIR3170	mir-3170	microRNA 3170	ncRNA
MACS_peak_1213	chr11	69329971	69330723	+	3100.00	NA	NA	NA	30018	NR_120545	101928292	Hs.736219	NR_120542		LINC01488	BRCAT8	long intergenic non-protein coding RNA 1488	ncRNA
MACS_peak_2337	chr15	71396781	71397722	+	3100.00	NA	NA	NA	-36537	NM_024817	79875	Hs.387057	NM_024817	ENSG00000187720	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin type 1 domain containing 4	protein-coding
MACS_peak_2801	chr16	88992616	88996074	+	3100.00	NA	NA	NA	-12100	NM_001290330	100129697	Hs.689377	NM_001290330		LOC100129697	-	uncharacterized LOC100129697	protein-coding
MACS_peak_86	chr1	17846712	17847493	+	3100.00	NA	NA	NA	-19091	NR_137287	55160	Hs.443460	NM_018125	ENSG00000074964	ARHGEF10L	GrinchGEF	Rho guanine nucleotide exchange factor 10 like	protein-coding
MACS_peak_206	chr1	42254805	42255898	+	3100.00	NA	NA	NA	129242	NR_038260	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
MACS_peak_642	chr10	8767676	8768666	+	3100.00	NA	NA	NA	-131817	NR_134492	105376398	Hs.63158	NR_134492		LOC105376398	-	uncharacterized LOC105376398	ncRNA
MACS_peak_2546	chr16	14463928	14464528	+	3100.00	NA	NA	NA	-105	NR_131191	105447648	Hs.554151	NR_131191	ENSG00000260009	LINC02130	-	long intergenic non-protein coding RNA 2130	ncRNA
MACS_peak_6688	chr8	98775644	98777118	+	3100.00	NA	NA	NA	-11635	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
MACS_peak_4323	chr20	48505367	48506614	+	3100.00	NA	NA	NA	24286	NM_001135773	9825	Hs.48513	NM_006038	ENSG00000158480	SPATA2	PD1|PPP1R145|tamo	spermatogenesis associated 2	protein-coding
MACS_peak_1988	chr14	67946432	67947531	+	3100.00	NA	NA	NA	8457	NM_001348543	161145	Hs.509707	NM_182526	ENSG00000198133	TMEM229B	C14orf83	transmembrane protein 229B	protein-coding
MACS_peak_1049	chr11	1817412	1818361	+	3100.00	NA	NA	NA	-32729	NM_001909	1509	Hs.654447	NM_001909	ENSG00000117984	CTSD	CLN10|CPSD|HEL-S-130P	cathepsin D	protein-coding
MACS_peak_2755	chr16	85321746	85323204	+	3100.00	NA	NA	NA	5911	NR_038859	197196	Hs.679002	NM_153238	ENSG00000179219	LINC00311	NCRNA00311|TMEM148	long intergenic non-protein coding RNA 311	ncRNA
MACS_peak_3495	chr19	39204944	39205595	+	3100.00	NA	NA	NA	29845	NM_144691	147968	Hs.731775	NM_144691	ENSG00000182472	CAPN12	-	calpain 12	protein-coding
MACS_peak_2422	chr15	93187508	93189227	+	3100.00	NA	NA	NA	10638	NM_207446	400451	Hs.27373	NM_207446	ENSG00000185442	FAM174B	-	family with sequence similarity 174 member B	protein-coding
MACS_peak_6533	chr8	11587718	11588791	+	3100.00	NA	NA	NA	22889	NM_001308093	2626	Hs.243987	NM_002052	ENSG00000136574	GATA4	ASD2|TACHD|TOF|VSD1	GATA binding protein 4	protein-coding
MACS_peak_2225	chr15	39960502	39961261	+	3100.00	NA	NA	NA	87601	NM_003246	7057	Hs.164226	NM_003246	ENSG00000137801	THBS1	THBS|THBS-1|TSP|TSP-1|TSP1	thrombospondin 1	protein-coding
MACS_peak_1857	chr13	113567599	113568417	+	3100.00	NA	NA	NA	54944	NR_034002	100289410	Hs.667436	NR_034002		MCF2L-AS1	-	MCF2L antisense RNA 1	ncRNA
MACS_peak_3677	chr2	38302781	38304055	+	3100.00	NA	NA	NA	-95	NM_000104	1545	Hs.154654	NM_000104	ENSG00000138061	CYP1B1	ASGD6|CP1B|CYPIB1|GLC3A|P4501B1	cytochrome P450 family 1 subfamily B member 1	protein-coding
MACS_peak_6734	chr8	116878951	116880490	+	3100.00	NA	NA	NA	-198518	NM_001330599	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
MACS_peak_1240	chr11	70651501	70652584	+	3100.00	NA	NA	NA	-56853	NR_073536	220070	Hs.326766	NM_145308	ENSG00000171671	SHANK2-AS3	C11orf76	SHANK2 antisense RNA 3	ncRNA
MACS_peak_2336	chr15	71388596	71389697	+	3100.00	NA	NA	NA	-44642	NM_024817	79875	Hs.387057	NM_024817	ENSG00000187720	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin type 1 domain containing 4	protein-coding
MACS_peak_3402	chr19	16574381	16575483	+	3100.00	NA	NA	NA	7849	NM_001258374	58513	Hs.654639	NM_021235	ENSG00000127527	EPS15L1	EPS15R	epidermal growth factor receptor pathway substrate 15 like 1	protein-coding
MACS_peak_2463	chr16	803201	803903	+	3100.00	NA	NA	NA	-7182	NM_001177355	10232	Hs.408488	NM_005823	ENSG00000102854	MSLN	MPF|SMRP	mesothelin	protein-coding
MACS_peak_3619	chr2	11672176	11673103	+	3100.00	NA	NA	NA	-1532	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_5983	chr6	53329317	53331194	+	3100.00	NA	NA	NA	79644	NM_001197115	2729	Hs.654465	NM_001498	ENSG00000001084	GCLC	GCL|GCS|GLCL|GLCLC	glutamate-cysteine ligase catalytic subunit	protein-coding
MACS_peak_2086	chr14	93483350	93484578	+	3100.00	NA	NA	NA	19355	NM_001363707	3705	Hs.308122	NM_014216	ENSG00000100605	ITPK1	ITRPK1	inositol-tetrakisphosphate 1-kinase	protein-coding
MACS_peak_3620	chr2	11679190	11680426	+	3100.00	NA	NA	NA	-137	NM_148903	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_5651	chr5	105576850	105577824	+	3100.00	NA	NA	NA	769378	NR_104671	102467213	Hs.570923	NR_104671	ENSG00000251027	LINC01950	-	long intergenic non-protein coding RNA 1950	ncRNA
MACS_peak_2756	chr16	85339407	85340332	+	3100.00	NA	NA	NA	62	NR_049816	100847022		NR_049816	ENSG00000266307	MIR5093	-	microRNA 5093	ncRNA
MACS_peak_1998	chr14	69036327	69037414	+	3100.00	NA	NA	NA	58634	NR_135816	100996664		NR_135816		LOC100996664	-	uncharacterized LOC100996664	ncRNA
MACS_peak_1672	chr12	123554002	123555095	+	3100.00	NA	NA	NA	-11383	NR_038290	100507091	Hs.683912	NR_038290	ENSG00000251497	PITPNM2-AS1	-	PITPNM2 antisense RNA 1	ncRNA
MACS_peak_3618	chr2	11670882	11671741	+	3100.00	NA	NA	NA	-2860	NM_014668	9687	Hs.467733	NM_014668	ENSG00000196208	GREB1	-	growth regulating estrogen receptor binding 1	protein-coding
MACS_peak_5097	chr3	156259725	156261095	+	3100.00	NA	NA	NA	11504	NM_001308205	6747	Hs.518346	NM_007107	ENSG00000114850	SSR3	TRAPG	signal sequence receptor subunit 3	protein-coding
MACS_peak_3493	chr19	38812090	38812928	+	3100.00	NA	NA	NA	2024	NM_004823	9424	Hs.240395	NM_004823	ENSG00000099337	KCNK6	K2p6.1|KCNK8|TOSS|TWIK-2|TWIK2	potassium two pore domain channel subfamily K member 6	protein-coding
MACS_peak_2986	chr17	49021210	49022370	+	3100.00	NA	NA	NA	-76451	NM_001243877	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO5|APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
MACS_peak_6081	chr6	135532134	135533021	+	3100.00	NA	NA	NA	-27721	NR_030317	693126		NR_030317	ENSG00000207689	MIR548A2	MIRN548A2	microRNA 548a-2	ncRNA
MACS_peak_5204	chr3	193876510	193877382	+	3100.00	NA	NA	NA	23009	NM_005524	3280	Hs.250666	NM_005524	ENSG00000114315	HES1	HES-1|HHL|HRY|bHLHb39	hes family bHLH transcription factor 1	protein-coding
MACS_peak_4641	chr22	29209553	29210537	+	3100.00	NA	NA	NA	-13485	NM_005080	7494	Hs.437638	NM_005080	ENSG00000100219	XBP1	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1	protein-coding
MACS_peak_1566	chr12	89858564	89859535	+	3100.00	NA	NA	NA	59524	NM_003774	8693	Hs.25130	NM_003774	ENSG00000257594	GALNT4	GALNAC-T4|GALNACT4	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding
MACS_peak_3823	chr2	100252823	100253875	+	3100.00	NA	NA	NA	-146870	NR_135650	51455	Hs.443077	NM_016316	ENSG00000135945	REV1	AIBP80|REV1L	REV1 DNA directed polymerase	protein-coding
MACS_peak_2050	chr14	77866448	77867207	+	3100.00	NA	NA	NA	22572	NM_001113475	122945	Hs.97556	NM_138791	ENSG00000165555	NOXRED1	C14orf148	NADP dependent oxidoreductase domain containing 1	protein-coding
MACS_peak_1820	chr13	98944992	98946260	+	3100.00	NA	NA	NA	84848	NR_036129	100422881		NR_036129	ENSG00000263399	MIR3170	mir-3170	microRNA 3170	ncRNA
MACS_peak_1104	chr11	30542940	30543766	+	3100.00	NA	NA	NA	58687	NM_001584	744	Hs.289795	NM_001584	ENSG00000066382	MPPED2	239FB|C11orf8	metallophosphoesterase domain containing 2	protein-coding
MACS_peak_4705	chr22	37965823	37966857	+	3100.00	NA	NA	NA	9754	NM_006498	3957	Hs.531776	NM_006498	ENSG00000100079	LGALS2	HL14	galectin 2	protein-coding
MACS_peak_1279	chr11	76483172	76484305	+	3100.00	NA	NA	NA	-9619	NM_001258210	25987	Hs.8361	NM_015516	ENSG00000182704	TSKU	E2IG4|LRRC54|TSK	tsukushi, small leucine rich proteoglycan	protein-coding
MACS_peak_793	chr10	65389946	65391347	+	3100.00	NA	NA	NA	-108996	NM_001322258	221037	Hs.413416	NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
MACS_peak_2513	chr16	4418773	4419666	+	3100.00	NA	NA	NA	-2630	NM_138440	114990	Hs.372579	NM_138440	ENSG00000168140	VASN	SLITL2	vasorin	protein-coding
MACS_peak_318	chr1	112055626	112056859	+	3100.00	NA	NA	NA	-9499	NM_000677	140	Hs.281342	NM_000677	ENSG00000282608	ADORA3	A3AR	adenosine A3 receptor	protein-coding
MACS_peak_3492	chr19	38789260	38790605	+	3100.00	NA	NA	NA	-4959	NM_001317801	64073	Hs.631544	NM_022125	ENSG00000167644	C19orf33	H2RSP|IMUP|IMUP-1|IMUP-2	chromosome 19 open reading frame 33	protein-coding
MACS_peak_33	chr1	7507733	7508333	+	3100.00	NA	NA	NA	-58219	NR_146199	102725193	Hs.666120	NR_146199	ENSG00000237728	LOC102725193	-	uncharacterized LOC102725193	ncRNA
MACS_peak_1413	chr12	2904770	2905625	+	3100.00	NA	NA	NA	1061	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FKBP prolyl isomerase 4	protein-coding
MACS_peak_2744	chr16	84494146	84495063	+	3100.00	NA	NA	NA	6363	NR_146503	105371374	Hs.610979	NR_146503	ENSG00000261286	ATP2C2-AS1	-	ATP2C2 antisense RNA 1	ncRNA
MACS_peak_4529	chr21	43796186	43797219	+	3100.00	NA	NA	NA	-10058	NM_003225	7031	Hs.162807	NM_003225	ENSG00000160182	TFF1	BCEI|D21S21|HP1.A|HPS2|pNR-2|pS2	trefoil factor 1	protein-coding
MACS_peak_2168	chr14	104159206	104160398	+	3100.00	NA	NA	NA	21986	NM_001371231								
MACS_peak_1295	chr11	78770491	78771922	+	3100.00	NA	NA	NA	341947	NR_030598	100126333		NR_030598	ENSG00000211997	MIR708	MIRN708|hsa-mir-708	microRNA 708	ncRNA
MACS_peak_2066	chr14	90969523	90970779	+	3100.00	NA	NA	NA	13402	NR_135274	105370619	Hs.525530	NR_135274		LOC105370619	-	uncharacterized LOC105370619	ncRNA
MACS_peak_5237	chr4	1239065	1240383	+	3100.00	NA	NA	NA	3194	NM_001328	1487	Hs.208597	NM_001328	ENSG00000159692	CTBP1	BARS|HADDTS	C-terminal binding protein 1	protein-coding
